SystemMillis,BMETemperature,BMEPressure,BMEApproximateAlt,BNO Quat W, BNO Quat X,BNO Quat Y,BNO Quat Z,BNO Gyro X,BNO Gyro Y,BNO Gyro Z,BNO Accel X,BNO Accel Y,BNO Accel Z,BNO_Grav_X,BNO_Grav_Y,BNO_Grav_Z,BNO CALIBRATION sys,BNOGyro,BNOAccel,BNOMagnitude,ALGOPos1,ALGOPos2,GPSHour,GPSmin,GPSsec,GPSmilli,GPSday,GPSmonth,GPSyear,GPSFix,GPSfixquality_3d,GPSLat,GPSlong,GPSSpeed,GPSAngle,GPSAlt,GPSSatNum
142712,30.94,830.65,1645.05,-0.1006,-0.6994,-0.0946,0.7013,-1.37,-1.06,-0.94,-9.90,0.07,-0.09,-9.80,0.07,0.03,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
143213,30.92,830.73,1644.23,-0.0964,-0.6993,-0.0927,0.7021,-1.37,0.19,-2.56,-9.73,0.10,0.35,-9.80,0.04,0.04,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
143714,30.90,830.83,1643.21,-0.0933,-0.6977,-0.0919,0.7043,-16.56,-1.62,0.31,-9.75,0.44,-0.40,-9.80,0.00,0.09,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
144214,30.89,830.90,1642.62,-0.0825,-0.6978,-0.0770,0.7073,7.12,-1.94,0.00,-9.83,-0.20,0.26,-9.80,0.06,0.13,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
144715,30.87,831.01,1641.51,-0.0799,-0.6973,-0.0697,0.7089,-1.44,1.62,2.44,-9.85,0.23,-0.11,-9.80,0.12,0.16,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
145216,30.85,831.10,1640.59,-0.0704,-0.7044,-0.0575,0.7039,-2.81,0.75,0.50,-9.81,0.05,0.01,-9.80,0.17,0.00,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
145717,30.83,831.26,1639.06,-0.0649,-0.7036,-0.0512,0.7058,-1.06,0.37,1.31,-9.73,0.07,0.20,-9.80,0.18,0.04,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
146217,30.81,831.35,1638.22,-0.0544,-0.7065,-0.0449,0.7042,-5.31,1.25,-0.56,-9.78,-0.10,-0.06,-9.80,0.13,-0.02,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
146718,30.79,831.45,1637.24,-0.0406,-0.7052,-0.0323,0.7071,12.06,-0.37,-0.75,-9.76,0.17,0.18,-9.80,0.11,0.03,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
147219,30.78,831.53,1636.42,-0.0276,-0.7052,-0.0202,0.7082,14.75,-0.69,-1.00,-9.74,-0.14,0.07,-9.80,0.10,0.04,0,0,0,0,146.22,0.00,,,,,,,,,,,,,,,
